step,epoch,loss,lr,seconds
1,0,0.127,0.0,2.5
10,0,0.1419,3e-05,24.3
20,0,0.0905,6.333e-05,49.9
30,0,0.0204,9.667e-05,75.7
40,0,0.0605,9.998e-05,102.2
50,0,0.0319,9.991e-05,127.9
60,0,0.019,9.979e-05,152.1
70,0,0.0046,9.961e-05,176.3
80,0,0.0165,9.939e-05,207.1
90,0,0.0114,9.912e-05,231.0
100,0,0.023,9.879e-05,261.8
110,0,0.0023,9.842e-05,286.3
120,0,0.0205,9.8e-05,326.8
130,0,0.046,9.752e-05,379.5
140,0,0.0027,9.7e-05,440.0
150,0,0.0078,9.643e-05,468.0
160,0,0.001,9.582e-05,506.0
170,0,0.0054,9.516e-05,533.7
180,0,0.0006,9.445e-05,559.8
190,0,0.0016,9.369e-05,650.0
200,0,0.0001,9.29e-05,721.2
210,0,0.0007,9.205e-05,802.6
220,0,0.0275,9.117e-05,869.5
230,0,0.0004,9.024e-05,928.6
240,0,0.0004,8.928e-05,1041.9
250,0,0.0003,8.827e-05,1113.0
260,0,0.0239,8.722e-05,1158.4
270,0,0.026,8.614e-05,1311.7
280,0,0.025,8.502e-05,1456.3
290,0,0.0402,8.386e-05,1542.3
300,0,0.0005,8.267e-05,1594.3
310,0,0.0227,8.144e-05,1664.0
320,0,0.0001,8.018e-05,1792.2
330,0,0.0028,7.89e-05,1885.7
340,1,0.0009,7.758e-05,2031.9
350,1,0.0004,7.623e-05,2148.1
360,1,0.0181,7.486e-05,2288.2
370,1,0.0005,7.346e-05,2447.7
380,1,0.0001,7.204e-05,2564.9
390,1,0.0001,7.06e-05,2667.4
400,1,0.0001,6.913e-05,2811.6
410,1,0.0002,6.765e-05,2961.6
420,1,0.0003,6.615e-05,2992.5
430,1,0.0003,6.463e-05,3018.2
440,1,0.0003,6.31e-05,3044.5
450,1,0.0003,6.155e-05,3070.4
460,1,0.0001,5.999e-05,3095.9
470,1,0.0069,5.842e-05,3121.4
480,1,0.0031,5.684e-05,3147.5
490,1,0.0001,5.526e-05,3174.0
500,1,0.0036,5.367e-05,3200.5
510,1,0.0065,5.207e-05,3226.6
520,1,0.0002,5.048e-05,3252.2
530,1,0.0007,4.888e-05,3277.2
540,1,0.0001,4.729e-05,3302.6
550,1,0.0066,4.57e-05,3327.0
560,1,0.0001,4.411e-05,3351.6
570,1,0.0001,4.253e-05,3375.8
580,1,0.0186,4.095e-05,3399.7
590,1,0.0151,3.939e-05,3423.7
600,1,0.0,3.783e-05,3447.4
610,1,0.0001,3.629e-05,3471.8
620,1,0.0006,3.476e-05,3496.9
630,1,0.0199,3.325e-05,3521.2
640,1,0.0002,3.175e-05,3545.7
650,1,0.0002,3.028e-05,3569.6
660,1,0.0001,2.882e-05,3593.9
670,1,0.0103,2.739e-05,3617.9
680,2,0.0001,2.597e-05,3640.6
690,2,0.0119,2.459e-05,3664.8
700,2,0.0001,2.322e-05,3688.9
710,2,0.0001,2.189e-05,3713.0
720,2,0.0049,2.058e-05,3736.6
730,2,0.0073,1.931e-05,3760.8
740,2,0.0001,1.806e-05,3784.8
750,2,0.0001,1.685e-05,3809.0
760,2,0.0001,1.568e-05,3833.6
770,2,0.0,1.453e-05,3857.7
780,2,0.0001,1.343e-05,3881.3
790,2,0.0003,1.236e-05,3905.2
800,2,0.0001,1.132e-05,3929.9
810,2,0.0022,1.033e-05,3953.7
820,2,0.0001,9.38e-06,3977.9
830,2,0.0,8.47e-06,4001.9
840,2,0.0001,7.6e-06,4026.2
850,2,0.0001,6.78e-06,4049.8
860,2,0.0001,6e-06,4073.7
870,2,0.0001,5.26e-06,4097.6
880,2,0.0105,4.57e-06,4122.0
890,2,0.0001,3.93e-06,4146.2
900,2,0.0042,3.33e-06,4170.1
910,2,0.0001,2.78e-06,4194.3
920,2,0.0001,2.28e-06,4218.1
930,2,0.0001,1.83e-06,4242.0
940,2,0.0,1.43e-06,4265.7
950,2,0.0001,1.07e-06,4289.8
960,2,0.0001,7.7e-07,4313.8
970,2,0.0001,5.2e-07,4338.0
980,2,0.0001,3.1e-07,4361.9
990,2,0.0,1.6e-07,4385.7
1000,2,0.0004,6e-08,4409.8
1010,2,0.0,1e-08,4434.5
